235 ocorrencias | .\native-pdf-reader\components\PdfReaderShell.tsx
211 ocorrencias | .\native-pdf-reader\knex-pdf-engine\viewport\ZoomCenterAnchorController.ts
156 ocorrencias | .\native-pdf-reader\knex-pdf-engine\viewport\ScrollCoordinator.ts
86 ocorrencias | .\native-pdf-reader\knex-pdf-engine\viewport\HorizontalOverflowController.ts
66 ocorrencias | .\core\interaction\zoom-scroll\PdfWheelInteractionPolicy.ts
51 ocorrencias | .\native-pdf-reader\components\PdfPageView.tsx
51 ocorrencias | .\native-pdf-reader\components\pdf-tiles\PdfTiledPageCanvas.tsx
42 ocorrencias | .\core\interaction\zoom-scroll\PdfZoomFramePolicy.ts
35 ocorrencias | .\native-pdf-reader\components\PdfReadingFrame.tsx
33 ocorrencias | .\native-pdf-reader\knex-pdf-engine\viewport\ZoomController.ts
21 ocorrencias | .\rendering\composition\PdfModularPageStage.tsx
19 ocorrencias | .\native-pdf-reader\knex-pdf-engine\index.ts
18 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\PageGeometry.ts
18 ocorrencias | .\native-pdf-reader\knex-pdf-engine\KnexPdfEngine.ts
14 ocorrencias | .\native-pdf-reader\components\PdfInteractionRenderGuard.ts
13 ocorrencias | .\native-pdf-reader\services\rendering\pdfCoordinateSystem.service.ts
10 ocorrencias | .\native-pdf-reader\components\pdf-tiles\PdfTileLayer.tsx
8 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\RenderManager.ts
7 ocorrencias | .\native-pdf-reader\knex-pdf-engine\tiles\TileRenderScheduler.ts
6 ocorrencias | .\native-pdf-reader\knex-pdf-engine\cache\PageBitmapCache.ts
6 ocorrencias | .\native-pdf-reader\components\pdf-tiles\TileViewportObserver.tsx
6 ocorrencias | .\core\interaction\zoom-scroll\usePdfZoomFramePolicy.ts
5 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\PdfJsTileRenderer.ts
5 ocorrencias | .\native-pdf-reader\components\pdf-tiles\PdfTileCanvas.tsx
5 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\RenderQualityController.ts
4 ocorrencias | .\config\KnexPdfDefaultConfig.ts
4 ocorrencias | .\native-pdf-reader\knex-pdf-engine\core\engineConfig.ts
4 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\HiDpiCanvasRenderer.ts
3 ocorrencias | .\native-pdf-reader\services\pdfTextExtraction.service.ts
3 ocorrencias | .\native-pdf-reader\hooks\usePdfSelection.ts
3 ocorrencias | .\native-pdf-reader\knex-pdf-engine\ruler\RulerScrollSyncController.ts
3 ocorrencias | .\native-pdf-reader\knex-pdf-engine\core\engineTypes.ts
2 ocorrencias | .\native-pdf-reader\components\pdf-tiles\PdfTileCanvasTypes.ts
2 ocorrencias | .\native-pdf-reader\components\index.ts
2 ocorrencias | .\rendering\canvas\PdfCanvasLayer.tsx
2 ocorrencias | .\native-pdf-reader\types\PdfTextSelection.ts
2 ocorrencias | .\native-pdf-reader\types\PdfHighlight.ts
2 ocorrencias | .\native-pdf-reader\knex-pdf-engine\server-tiles\NativeServerTileRenderer.ts
2 ocorrencias | .\native-pdf-reader\hooks\usePdfZoom.ts
2 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\RenderScheduler.ts
1 ocorrencias | .\native-pdf-reader\knex-pdf-engine\tiles\tileRenderQualityPolicy.ts
1 ocorrencias | .\native-pdf-reader\services\pdfHighlight.service.ts
1 ocorrencias | .\rendering\composition\PdfBlueprintStage.tsx
1 ocorrencias | .\native-pdf-reader\components\PdfDebugOverlay.tsx
1 ocorrencias | .\native-pdf-reader\knex-pdf-engine\KnexPdfEngineProvider.tsx
1 ocorrencias | .\native-pdf-reader\types\PdfReaderState.ts
1 ocorrencias | .\native-pdf-reader\knex-pdf-engine\rendering\RenderQueue.ts
