"File","Line","Category","Match","Sample"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\index.ts","1","SERVER","controller","export * from ""./pdf-reader.controller"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\index.ts","3","SERVER","service","export * from ""./pdf-reader.service"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","8","BACKEND","Runtime","PdfTranslationRuntime,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","12","SERVER","service","import { pdfReaderService } from ""./pdf-reader.service"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","12","SERVER","Service","import { pdfReaderService } from ""./pdf-reader.service"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","14","SERVER","Controller","export const pdfReaderController = {"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","16","SERVER","Service","return pdfReaderService.getPdfFile(fileId);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","20","SERVER","Service","return pdfReaderService.listProjectFiles(projectId);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","24","SERVER","Service","return pdfReaderService.resolveStoredFile(pdfFileId);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","28","SERVER","Service","return pdfReaderService.open(input);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","32","SERVER","Service","return pdfReaderService.getSession(pdfFileId);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","39","SERVER","Service","return pdfReaderService.updateSession(pdfFileId, patch);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","43","SERVER","Service","return pdfReaderService.getHighlights(pdfFileId);"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","109","BACKEND","Runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","109","BACKEND","runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","121","BACKEND","runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","121","BACKEND","Runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","2","SERVER","api/","getFile: (fileId: string) => `/api/pdf-reader/files/${fileId}`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","3","SERVER","api/","open: ""/api/pdf-reader/open"","
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","4","SERVER","api/","getSession: (pdfFileId: string) => `/api/pdf-reader/${pdfFileId}/session`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","5","SERVER","api/","updateSession: (pdfFileId: string) => `/api/pdf-reader/${pdfFileId}/session`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","6","SERVER","api/","listHighlights: (pdfFileId: string) => `/api/pdf-reader/${pdfFileId}/highlights`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","7","SERVER","api/","createHighlights: (pdfFileId: string) => `/api/pdf-reader/${pdfFileId}/highlights`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","9","SERVER","api/","`/api/pdf-reader/highlights/${highlightId}`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","11","SERVER","api/","`/api/pdf-reader/highlights/${highlightId}`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","13","SERVER","api/","`/api/pdf-reader/${pdfFileId}/annotations`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.routes.ts","15","SERVER","api/","`/api/pdf-reader/${pdfFileId}/annotations`,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","11","BACKEND","Runtime","PdfTranslationRuntime,"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","36","SERVER","service","} from ""../services"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","40","SERVER","service","} from ""../services"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","49","SERVER","Service","export class PdfReaderService {"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","224","BACKEND","Runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","224","BACKEND","runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","236","BACKEND","runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","236","BACKEND","Runtime","runtime?: PdfTranslationRuntime;"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","261","SERVER","Service","export const pdfReaderService = new PdfReaderService();"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","261","SERVER","Service","export const pdfReaderService = new PdfReaderService();"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","8","TEXT","TextLayer","export * from ""./PdfInvisibleTextLayer"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","15","TEXT","PdfTextLayer","export * from ""./PdfTextLayer"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","19","SERVER","pdf-tiles/PdfTile","export * from ""./pdf-tiles/PdfTileCanvasTypes"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","20","SERVER","pdf-tiles/PdfTile","export * from ""./pdf-tiles/PdfTiledPageCanvas"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfAnnotationLayer.tsx","3","BACKEND","engine","import type { KnexPdfPageLinkAnnotation as PdfPageLinkAnnotation } from ""../knex-pdf-engine"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfCommentPopover.tsx","30","TILES","gap","<div className=""mt-2 flex justify-end gap-2"">"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","4","SERVER","PdfTile","buildKnexPdfTileRenderPlan,"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","6","BACKEND","engine","} from ""../knex-pdf-engine"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","7","SERVER","PdfTileRenderState } from ""./pdf-tiles/PdfTile","import type { PdfTileRenderState } from ""./pdf-tiles/PdfTileCanvasTypes"";"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","37","SERVER","PdfTile","canvasState: PdfTileRenderState | null;"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","47","SCALE","outputScale","const outputScale ="
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","48","SCALE","outputScale","geometry?.outputScale ?? canvasState?.outputScale ?? renderedPage?.outputScale;"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","48","SCALE","outputScale","geometry?.outputScale ?? canvasState?.outputScale ?? renderedPage?.outputScale;"
