"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumEmbedPdfRuntime.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumEmbedPdfRuntime.ts","5120","SIM","SIM","PDFIUM","0","305","9","5","73","9","7","1","54"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTiledPageCanvas.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTiledPageCanvas.tsx","4495","","SIM","INDEFINIDO","0","0","2","25","28","48","2","50","48"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumPageRenderer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumPageRenderer.ts","3915","SIM","","PDFIUM","0","35","15","7","0","65","0","5","28"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileCanvas.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileCanvas.tsx","3635","","","INDEFINIDO","0","0","3","0","26","158","0","79","51"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderQualityController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderQualityController.ts","3310","","","PDFIUM","0","33","0","0","56","1","0","0","31"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumRuntimeLoader.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-pdfium\PdfiumRuntimeLoader.ts","3255","SIM","","PDFIUM","0","45","7","4","0","10","2","2","119"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\cache\PageBitmapCache.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\cache\PageBitmapCache.ts","3180","","","PDFIUM","0","1","0","0","38","104","0","0","51"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfReaderShell.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfReaderShell.tsx","3090","","SIM","INDEFINIDO","0","0","22","6","5","30","35","27","7"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\PageGeometry.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\PageGeometry.ts","2765","","","PDFIUM","0","20","0","0","68","0","0","1","30"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfPageView.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfPageView.tsx","2765","","","INDEFINIDO","0","0","18","0","1","37","17","6","82"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\HiDpiCanvasRenderer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\HiDpiCanvasRenderer.ts","2520","","","INDEFINIDO","0","0","13","0","71","19","0","2","4"
