
Score RelativePath                                                                                                 SizeKB MatchedTerms                                                                                                                                                  
----- ------------                                                                                                 ------ ------------                                                                                                                                                  
   44 knex-pdf-engine\backends\future-pdfium\PdfiumEmbedPdfRuntime.ts                                                47,4 filename:PdfiumEmbedPdfRuntime, PdfPageView, RenderQualityController, createTextBlock, extractText, renderText, canvasTextMode, without-text, hybrid-visual...
   41 knex-pdf-engine\core\engineTypes.ts                                                                           10,38 filename:engineTypes, PdfTextLayer, PdfVisualTextLayer, SemanticTextLayer, PdfPageView, DeviceCapabilities, hybrid-visual, bitmap-only, semantic, visual, t...
   36 components\PdfPageView.tsx                                                                                    37,15 filename:PdfPageView, PdfTextLayer, PdfPageView, PdfPageCanvas, extractText, renderText, canvasTextMode, without-text, hybrid-visual, semantic, visual, tex...
   35 components\PdfVisualTextLayer.tsx                                                                              6,57 filename:PdfVisualTextLayer, PdfVisualTextStyleResolver, PdfVisualTextLayer, visual, renderMode, textRenderMode, fontFamily, fontName, sourceFontName, font...
   35 components\PdfTextLayer.tsx                                                                                   20,27 filename:PdfTextLayer, PdfTextLayer, semantic, visual, textLayerMode, renderMode, textRenderMode, fontFamily, fontName, fontSize, fontWeight, fontStyle, li...
   30 _backup_hybrid_text_layer_20260522_121448\knex-pdf-engine__backends__future-pdfium__PdfiumEmbedPdfRuntime.ts  34,81 filename:PdfiumEmbedPdfRuntime, RenderQualityController, createTextBlock, extractText, semantic, visual, fontFamily, fontSize, fontWeight, fontStyle, lineH...
   29 _backup_hybrid_text_layer_20260522_121448\knex-pdf-engine__core__engineTypes.ts                                5,28 filename:engineTypes, PdfPageView, DeviceCapabilities, semantic, visual, fontFamily, fontSize, fontWeight, fontStyle, lineHeight, letterSpacing, transform,...
   27 _backup_hybrid_text_layer_20260522_121448\components__PdfPageView.tsx                                         18,41 filename:PdfPageView, PdfTextLayer, PdfPageView, PdfPageCanvas, extractText, semantic, visual, transform, position, left, top, width, height, selection, hi...
   26 _backup_hybrid_text_layer_20260522_121448\components__PdfTextLayer.tsx                                         5,23 filename:PdfTextLayer, PdfTextLayer, semantic, visual, fontFamily, fontSize, fontWeight, fontStyle, lineHeight, transform, position, left, top, width, heig...
